Country,iso3c,slum_2.7,jobs_5.5
Afghanistan,AFG,73.3,NA
Albania,ALB,2.8,12703
Algeria,DZA,13.2650162927898,2448
Angola,AGO,62.6,10202
Argentina,ARG,17.7,34274
Armenia,ARM,8.3947161318934,NA
Austria,AUT,0.6859296353917042,37889
Azerbaijan,AZE,0.6859296353917042,4385
Bangladesh,BGD,51.8692126745486,34883
Belarus,BLR,2.27611320794767,1636
Belize,BLZ,15.7253333333333,NA
Benin,BEN,67.9329277476551,NA
Bolivia,BOL,17.7,NA
Bosnia & Herzegovina,BIH,0.6859296353917042,NA
Botswana,BWA,39.6,20
Brazil,BRA,17.704285524884288,1399989
Burkina Faso,BFA,26.5502496466388,100
Burundi,BDI,36.8,NA
Cambodia,KHM,39.7,15963
Cameroon,CMR,32.6717907050343,NA
Central Africa Republic,NA,50.16237709696918,NA
Central Asia and Southern Asia,NA,48.22786379929273,NA
Chad,TCD,82,NA
Chile,CHL,17.7,39459
Colombia,COL,9.7,262103
Comoros,COM,50.16237709696918,NA
Congo,COG,44.1835929966983,NA
Costa Rica,CRI,3.5457287449392,1344
Cote d'Ivoire,CIV,53.2108222334928,NA
Cuba,CUB,10.5420224719101,NA
Democratic Republic of Congo,COD,78.3622624056587,NA
Dominican Republic,DOM,11.2488784135244,300
Eastern and South-Eastern Asia,NA,21.702186955108402,NA
Ecuador,ECU,17.7,8305
Egypt,EGY,18.65724767910339,3720
El Salvador,SLV,16.5,163
Eswatini,SWZ,10.8082001331559,NA
Ethiopia,ETH,64.3143766574849,57818.75
Europe and Northern America,NA,0.6859296353917042,NA
Fiji,FJI,9.4,NA
Gabon,GAB,50.16237709696918,298
Gambia,GMB,38.8930907782462,NA
Georgia,GEO,7.07907817168064,NA
Ghana,GHA,33.4868457456855,13717
Guatemala,GTM,37.6,NA
Guinea,GIN,49.0071449998102,1000
Guinea-Bissau,GNB,60.8103666540287,NA
Guyana,GUY,12.1402031602706,NA
Haiti,HTI,48.9,NA
Honduras,HND,17.7,NA
Hungary,HUN,0.6859296353917042,33281.06
India,IND,49.0108485409863,988252
Indonesia,IDN,19.4108292256913,649305
Iraq,IRQ,49.3389413442196,NA
Ireland,IRL,8.5,7888.4800000000005
Jordan,JOR,16.7222932572008,17100
Kazakhstan,KAZ,0.793759710106315,3365
Kenya,KEN,50.8133132167698,18623.6
Kyrgyzstan,KGZ,2.43931923081345,2260
Lao People's Democratic Republic,LAO,21.8,NA
Latin America and The Carbbean,NA,17.704285524884288,NA
Lebanon,LBN,18.65724767910339,5120
Lesotho,LSO,25.5531762050196,90
Liberia,LBR,63.8848357569643,NA
Madagascar,MDG,67.4200945670268,NA
Malawi,MWI,49.7845209079087,NA
Maldives,MDV,34.8449999999998,NA
Mali,MLI,41.9288274505507,1900
Mauritania,MRT,56,NA
Mexico,MEX,17.6,78675
Mongolia,MNG,17.878688733128,312
Montenegro,MNE,8.8,80
Morocco,MAR,10.8508774980291,12147
Mozambique,MOZ,54.958909566788,1282
Myanmar,MMR,58.2810523296994,16111.999999999998
Namibia,NAM,50.16237709696918,510
Nepal,NPL,40.2821952648978,1000
Nicaragua,NIC,50.16237709696918,8410
Niger,NER,50.16237709696918,NA
Nigeria,NGA,48.9820595706587,44808.3
Western Asia and Northern Africa,NA,18.65724767910339,NA
Oceania,NA,15.252286142515281,NA
Pakistan,PAK,55.9737142195486,112285
Panama,PAN,17.704285524884288,1883
Paraguay,PRY,15.1,14927
Peru,PER,17.704285524884288,10931
Philippines,PHL,36.615646147807,76527
Republic Moldova,MDA,18.65724767910339,NA
Rwanda,RWA,38.3492310053321,1075
Sao Tome and Principe,STP,52.6,NA
Senegal,SEN,31.604843701758,70
Sierra Leone,SLE,50.6466062309464,NA
South Africa,ZAF,24.2,24559
South Sudan,SSD,50.16237709696918,NA
State of Palestine,PSE,19.5,610
Sub Saharan Africa,NA,50.16237709696918,NA
Sudan,SDN,73.7,NA
Suriname,SUR,15.8003508771928,NA
Tajikistan,TJK,17.0639216699155,6793
Thailand,THA,6.79482152758032,142295.9609
Timor-Leste,TLS,33.9,NA
Togo,TGO,38.5,NA
Trinidad and Tobago,TTO,17.704285524884288,NA
Tunisia,TUN,7.64300666619386,1850
Turkey,TUR,18.65724767910339,NA
Turkmenistan,TKM,8.506499565,NA
Uganda,UGA,54.0121448683512,25438.8
Ukraine,UKR,0.6859296353917042,24434
United Republic of Tanzania,TZA,40.8804809647472,3035
Uruguay,URY,17.704285524884288,10489
Venezuela,VEN,17.704285524884288,NA
Vietnam,VNM,5.76598230659147,NA
Yemen,YEM,48.22786379929273,NA
Zambia,ZMB,48.25812727417,24454
Zimbabwe,ZWE,21.5682084351887,110
Australia,AUS,NA,76834
Barbados,BRB,NA,140
Belgium,BEL,NA,18212
Bosnia and Herzegovina,BIH,NA,200
Bulgaria,BGR,NA,43085
Canada,CAN,NA,58762
China,CHN,NA,5548412
Chinese Taipei,TWN,NA,41170
Croatia,HRV,NA,15446
Cyprus,CYP,NA,1873
Czechia,CZE,NA,34868
Democratic Republic of the Congo,COD,NA,7674
Denmark,DNK,NA,50324.240000000005
Estonia,EST,NA,12544
Finland,FIN,NA,35987
France,FRA,NA,150026
Germany,DEU,NA,354412
Greece,GRC,NA,41942
Iceland,ISL,NA,1548
Iran (Islamic Republic of),IRN,NA,57165
Israel,ISR,NA,17090
Italy,ITA,NA,110642
Japan,JPN,NA,143174
Latvia,LVA,NA,27055
Libya,LBY,NA,500
Lithuania,LTU,NA,31372
Luxembourg,LUX,NA,1409
Malaysia,MYS,NA,128699.00000000001
Malta,MLT,NA,845
Mauritius,MUS,NA,1369.375
Moldova,MDA,NA,61
Netherlands,NLD,NA,87857.28
New Zealand,NZL,NA,3107
North Macedonia,MKD,NA,251
Norway,NOR,NA,19752.89688
Oman,OMN,NA,3600
Poland,POL,NA,212442
Portugal,PRT,NA,39265
Puerto Rico,PRI,NA,1600
Qatar,QAT,NA,5600
Republic of Korea,KOR,NA,47115
Romania,ROU,NA,41530
Russian Federation,RUS,NA,52666
Serbia,SRB,NA,654
Singapore,SGP,NA,6000
Slovakia,SVK,NA,11847.41
Slovenia,SVN,NA,3504
Spain,ESP,NA,168047
Sri Lanka,LKA,NA,130
Sweden,SWE,NA,66295
Switzerland,CHE,NA,18521
TÃ¼rkiye,TUR,NA,111299
United Arab Emirates,ARE,NA,6650
United Kingdom,GBR,NA,145184.24
United States of America,USA,NA,NA
Uzbekistan,UZB,NA,4111
Venezuela (Bolivarian Republic of),VEN,NA,14262
Viet Nam,VNM,NA,253270
