ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-20.737,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2021
ALB,Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.909,4.844,3.607,3.33,3.429,3.451,3.466,3.466,2022
DZA,Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.4,3.2,3.835,3.133,2.525,1.879,1.733,1.703,2022
AND,Andorra,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.287,8.811,2.05,1.5,1.5,1.5,1.5,1.5,2022
AGO,Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.199,3.046,1.255,3.274,3.379,3.453,3.544,3.628,2022
ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.556,8.459,5.592,5.417,4.173,2.845,2.832,2.842,2022
ARG,Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.718,4.956,-2.5,2.75,3.25,3,2.75,2.5,2022
ARM,Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.684,12.604,7.032,5.002,4.5,4.5,4.5,4.5,2022
ABW,Aruba,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",27.639,10.458,2.3,1.2,1.2,1.1,1.1,1.1,2021
AUS,Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.206,3.692,1.777,1.237,1.978,2.189,2.297,2.302,2022
AUT,Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.557,4.849,0.095,0.767,1.686,1.94,1.709,1.253,2022
AZE,Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.616,4.577,2.514,2.536,2.511,2.513,2.536,2.543,2022
BHS,The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",16.985,14.369,4.306,1.828,1.616,1.585,1.495,1.528,2022
BHR,Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.591,4.891,2.744,3.598,3.164,2.666,2.72,2.716,2022
BGD,Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.939,7.1,6.025,6,6.6,7.1,7.2,7,2022
BRB,Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.189,9.8,4.5,3.9,2.8,2.3,2,2,2022
BLR,Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.273,-3.664,1.629,1.329,0.597,0.653,0.872,0.646,2022
BEL,Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.286,3.248,1.001,0.852,1.223,1.192,1.244,1.304,2022
BLZ,Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",15.208,12.726,4.007,2.998,2.544,2.544,2.544,2.544,2021
BEN,Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.155,6.253,5.501,6.308,5.96,6.011,5.963,5.975,2022
BTN,Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.332,4.757,5.328,3.037,4.578,5.536,3.071,3.625,2021
BOL,Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.106,3.478,1.8,1.8,2.1,2.2,2.3,2.3,2022
BIH,Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.39,4.106,2,3,3,3,3,3,2022
BWA,Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.867,5.782,3.841,4.11,4.349,4.026,3.987,4.049,2021
BRA,Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.989,2.901,3.084,1.507,1.896,1.877,2.015,2.015,2022
BRN,Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.591,-1.628,-0.768,3.515,2.83,2.963,3.108,3.161,2022
BGR,Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.635,3.361,1.663,3.161,3,2.94,2.84,2.84,2022
BFA,Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.905,1.481,4.371,6.449,5.97,5.648,5.251,5.28,2021
BDI,Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.119,1.827,3.336,5.95,5.945,5.7,5.942,5.466,2022
CPV,Cabo Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.415,17.004,4.411,4.478,4.596,4.597,4.708,4.702,2021
KHM,Cambodia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.026,5.239,5.647,6.134,6.389,6.519,6.243,6.307,2022
CMR,Cameroon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.649,3.775,3.98,4.176,4.436,4.46,4.515,4.58,2022
CAN,Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.012,3.438,1.292,1.608,2.378,1.782,1.671,1.662,2022
CAF,Central African Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.983,0.472,0.96,2.45,3.787,3.791,3.686,3.348,2021
TCD,Chad,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.187,3.394,4,3.746,2.992,2.91,2.935,2.994,2021
CHL,Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.737,2.44,-0.532,1.608,2.293,2.366,2.423,2.44,2022
CHN,China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.45,2.989,5.01,4.16,4.117,4.071,3.663,3.38,2022
COL,Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.016,7.257,1.442,1.978,2.93,3.345,3.345,3.345,2022
COM,Comoros,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.112,2.598,3.004,3.5,4.029,4.328,4.482,4.312,2021
COD,Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.227,8.917,6.734,4.688,5.332,5.25,5.65,5.244,2020
COG,Republic of Congo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.057,1.75,4.033,4.426,3.255,3.771,3.9,3.971,2020
CRI,Costa Rica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.781,4.305,4.415,3.191,3.194,3.197,3.2,3.2,2022
CIV,Côte d'Ivoire,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7,6.7,6.2,6.6,6.4,6.3,6.1,6,2020
HRV,Croatia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.086,6.219,2.7,2.6,2.7,2.9,2.8,2.8,2022
CYP,Cyprus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.629,5.633,2.247,2.678,3.01,3.016,2.954,2.899,2022
CZE,Czech Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.553,2.342,0.183,2.294,2.931,2.743,2.477,2.545,2022
DNK,Denmark,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.845,2.731,1.7,1.4,1.2,1.3,1.3,1.3,2022
DJI,Djibouti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.522,3.185,5,5.993,5.494,5,5,5,2022
DMA,Dominica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.892,5.711,4.624,4.599,4.226,2.86,2.678,2.656,2021
DOM,Dominican Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.272,4.858,2.966,5.237,5.068,5.035,5.013,5.03,2022
ECU,Ecuador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.235,2.948,1.372,1.82,1.989,2.166,2.819,2.795,2022
EGY,Egypt,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.253,6.653,4.157,3.603,5.041,5.412,5.835,5.975,2022
SLV,El Salvador,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.178,2.6,2.2,1.94,2.045,2,2,2,2022
GNQ,Equatorial Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.377,3.246,-6.221,-5.471,-4.028,-3.993,-1.661,-0.622,2021
ERI,Eritrea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2019
EST,Estonia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.249,-0.461,-2.269,2.368,2.666,2.892,2.967,2.859,2022
SWZ,Eswatini,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.883,3.563,3.063,3.271,3.1,2.857,2.787,2.783,2021
ETH,Ethiopia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.265,6.358,6.109,6.195,6.457,6.658,6.759,6.954,2022
FJI,Fiji,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.881,20.016,7.459,3.913,3.682,3.47,3.481,3.292,2022
FIN,Finland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.17,1.605,-0.129,1.049,1.345,1.561,1.614,1.624,2022
FRA,France,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.37,2.522,0.951,1.346,1.811,1.669,1.525,1.438,2022
GAB,Gabon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.468,3.037,2.762,2.555,2.511,2.84,2.777,2.831,2021
GMB,The Gambia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.256,4.905,5.555,6.223,5.788,5.019,5.02,5.018,2021
GEO,Georgia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.466,10.109,6.193,4.775,5.2,5.2,5.2,5.2,2022
DEU,Germany,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.169,1.804,-0.535,0.915,1.993,1.881,1.289,0.914,2022
GHA,Ghana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.076,3.078,1.16,2.694,4.594,4.948,5,5,2022
GRC,Greece,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.434,5.914,2.462,1.974,1.418,1.408,1.209,1.128,2022
GRD,Grenada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.689,6.354,3.87,3.796,3.508,3.219,2.735,2.735,2021
GTM,Guatemala,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.002,4.118,3.432,3.5,3.6,3.7,3.8,3.9,2022
GIN,Guinea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.048,4.287,5.928,5.609,5.635,5.412,5.35,5.243,2021
GNB,Guinea-Bissau,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.4,4.2,4.5,5,5,5,5,4.5,2021
GUY,Guyana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",20.06,62.288,38.432,26.559,18.774,21.179,21.166,13.482,2021
HTI,Haiti,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.798,-1.682,-1.5,1.4,1.5,1.5,1.5,1.5,2021
HND,Honduras,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.534,4,2.9,3.2,3.488,3.732,3.844,3.82,2022
HKG,Hong Kong SAR,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.442,-3.476,4.394,2.927,2.875,2.709,2.556,2.411,2022
HUN,Hungary,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.2,4.578,-0.34,3.098,3.3,3.4,3.45,3.451,2022
ISL,Iceland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.508,7.238,3.336,1.733,2.155,2.42,2.303,2.379,2022
IND,India,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.05,7.24,6.332,6.293,6.327,6.316,6.349,6.263,2023
IDN,Indonesia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.703,5.309,4.971,4.953,4.962,4.955,4.952,4.955,2022
IRN,Islamic Republic of Iran,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.72,3.777,2.976,2.488,2,1.999,1.997,1.998,2023
IRQ,Iraq,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.58,6.983,-2.739,2.941,4.043,3.604,3.26,3.202,2022
IRL,Ireland,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",15.125,9.433,2.005,3.349,3.162,2.671,2.664,2.653,2022
ISR,Israel,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.344,6.47,3.137,3.036,3.31,3.633,3.721,3.77,2022
ITA,Italy,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.987,3.722,0.673,0.655,1.044,1.093,1.032,0.894,2022
JAM,Jamaica,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.601,5.222,2,1.8,1.7,1.6,1.6,1.6,2022
JPN,Japan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.23,1.047,1.957,1.033,0.65,0.487,0.417,0.41,2022
JOR,Jordan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.223,2.504,2.6,2.7,3,3,3,3,2021
KAZ,Kazakhstan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.1,3.299,4.559,4.192,4.564,1.847,3.106,2.979,2022
KEN,Kenya,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.59,4.847,4.966,5.26,5.344,5.357,5.373,5.329,2022
KIR,Kiribati,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.886,1.154,2.577,2.413,2.308,2.092,2.125,2.093,2021
KOR,Korea,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.305,2.613,1.445,2.217,2.262,2.246,2.174,2.114,2022
UVK,Kosovo,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.746,3.511,3.8,4,4,3.9,3.8,3.8,2022
KWT,Kuwait,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.145,8.863,-0.607,3.58,4.088,2.391,2.433,2.435,2020
KGZ,Kyrgyz Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.507,6.332,3.375,4.282,3.901,3.95,3.99,3.977,2022
LAO,Lao P.D.R.,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.061,2.252,3.967,4.007,4.123,4.192,4.337,4.496,2020
LVA,Latvia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.277,2.763,0.5,2.614,3.228,3.239,3.25,3.245,2022
LBN,Lebanon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-10,--,n/a,n/a,n/a,n/a,n/a,n/a,2020
